id,title,author,release_date
41866,Dick Merriwellâs Trap,Burt L. Standish,2013
12725,The Vale of Cedars ,Grace Aguilar,2004
46540,Elsie's Winter Trip,Martha Finley,2014
32724,Feet Of Clay,Phillip Hoskins,2010
56669,Pelikello,Sven Elvestad,2018
26808,Ma conversion,Comte de Mirabeau,2008
50661,Dave Dawson at Singapore,Robert Sydney Bowen,2015
44576,The Girls of Silver Spur Ranch,Grace MacGowan Cooke and Anne McQueen,2014
54446,The Radio Boys Seek the Lost Atlantis,Gerald Breckenridge,2017
47194,Humorous Hits and How to Hold an Audience,Grenville Kleiser,2014
42299,The History of Johnny Quæ Genus,William Combe,2013
12659,The Vertical City,Fannie Hurst,2004
36507,Mary Wollstonecraft's Original Stories,Mary Wollstonecraft,2011
34567,Paradise Bend,William Patterson White,2010
13152,The Firm of Girdlestone,Arthur Conan Doyle,2004
